ID_Uzorka,GPS_LAT,GPS_LONG,Dubina_Busenja_cm,Temp_Tla_C,pH_Vrijednost,H2O_Postotak,Metan_Senzor,Organske_Molekule
1,18.46723,77.390805,13.7,-62.5,7.39,4.74,Negativno,Ne
2,18.481513,77.396537,10.6,-78.3,6.59,2.31,Negativno,Ne
3,18.478605,77.395471,10.6,-26.5,7.4,3.03,Negativno,Ne
4,18.476099,77.386373,8.7,-64.2,6.82,5.62,Negativno,Ne
5,18.472036,77.378533,12.0,-56.7,5.93,4.42,Negativno,Ne
6,18.482882,77.37774,6.9,-55.0,7.54,0.64,Negativno,Ne
7,18.477885,77.391069,10.3,-57.8,6.47,1.06,Negativno,Ne
8,18.48764,77.372608,11.1,-54.1,7.18,0.36,Negativno,Ne
9,18.481356,77.395549,14.2,-46.5,7.19,5.17,Negativno,Ne
10,18.494946,77.398062,5.6,-60.4,8.19,1.17,Pozitivno,Ne
12,18.463437,77.377501,8.5,-48.6,6.55,4.36,Negativno,Ne
13,18.475482,77.414739,9.2,-43.9,7.43,4.94,Negativno,Da
14,18.481603,77.388115,10.0,-60.9,6.84,1.36,Negativno,Ne
15,18.470399,77.403601,4.4,-42.4,6.81,0.97,Negativno,Ne
16,18.476387,77.386749,14.6,-51.7,6.68,1.05,Negativno,Ne
17,18.480113,77.374613,5.6,-42.8,7.3,4.1,Negativno,Ne
18,18.485739,77.389455,8.2,-23.6,6.15,4.43,Negativno,Ne
19,18.488763,77.40964,9.5,-43.0,6.48,2.59,Negativno,Ne
20,18.482296,77.383053,12.7,-32.3,7.04,1.74,Negativno,Ne
21,18.486522,77.389595,14.8,-62.4,6.83,2.17,Negativno,Ne
22,18.476858,77.375499,14.8,-41.1,6.8,1.85,Negativno,Ne
23,18.479842,77.404979,5.9,-22.2,7.02,5.24,Negativno,Ne
24,18.483031,77.401077,5.1,-63.7,7.02,5.68,Negativno,Ne
25,18.490883,77.381616,2.8,-56.9,6.87,3.73,Negativno,Ne
26,18.48539,77.385702,13.0,-33.2,6.3,5.93,Negativno,Ne
27,18.461201,77.386785,9.5,-30.8,6.69,4.34,Negativno,Ne
28,18.494235,77.408876,7.5,-68.0,6.65,2.47,Negativno,Ne
29,18.478719,77.401342,7.6,-55.9,8.15,3.5,Negativno,Ne
30,18.4818,77.389979,8.9,-37.4,6.59,0.22,Negativno,Ne
31,18.484482,77.391743,2.3,-52.6,7.06,2.51,Negativno,Ne
32,18.49483,77.398719,2.2,-70.4,6.33,3.79,Negativno,Ne
33,18.488145,77.391157,10.1,-55.5,7.04,3.27,Negativno,Ne
34,18.473899,77.389748,9.5,-58.4,7.11,0.74,Negativno,Ne
35,18.478279,77.369123,4.3,-44.0,6.88,4.96,Pozitivno,Ne
36,18.487708,77.372055,13.9,-35.7,7.43,2.83,Negativno,Ne
37,18.483251,77.385603,6.7,-69.4,7.58,2.07,Negativno,Ne
38,18.480103,77.393905,6.2,-58.6,6.45,5.45,Negativno,Ne
39,18.487393,77.397626,0.3,-50.9,7.36,1.58,Negativno,Ne
40,18.478842,77.395205,12.7,-66.3,6.25,4.85,Pozitivno,Ne
41,18.477318,77.390099,12.4,-55.3,6.08,1.85,Negativno,Ne
42,18.475423,77.378739,11.1,-68.4,6.86,1.03,Negativno,Ne
43,18.4904,77.391459,6.1,-57.5,6.67,0.66,Negativno,Ne
44,18.460286,77.395364,5.9,-45.2,7.34,1.67,Negativno,Ne
45,18.483374,77.403432,14.6,-60.6,6.52,4.94,Negativno,Ne
46,18.45661,77.394706,12.3,-19.5,5.61,5.45,Negativno,Ne
47,18.478924,77.38421,9.9,-38.2,7.36,2.64,Negativno,Ne
48,18.491212,77.37135,9.0,-57.3,7.17,3.69,Negativno,Ne
49,18.493632,77.378362,5.6,-30.6,7.12,1.7,Negativno,Ne
50,18.481883,77.391473,12.6,-40.2,7.07,1.21,Negativno,Ne
51,18.478089,77.379904,4.0,-57.8,6.61,0.94,Negativno,Ne
52,18.484104,77.394752,12.8,-24.2,7.01,4.51,Negativno,Ne
53,18.467558,77.39429,6.7,-53.2,6.31,1.74,Negativno,Ne
54,18.478143,77.384334,9.5,-36.4,6.78,0.39,Negativno,Ne
55,18.478149,77.383341,14.0,-68.7,6.95,1.3,Negativno,Ne
56,18.494316,77.377633,9.2,-26.4,6.2,4.52,Negativno,Ne
57,18.477126,77.383787,2.5,-70.9,8.17,0.17,Negativno,Ne
58,18.481807,77.376259,12.9,-70.4,7.33,5.98,Negativno,Ne
59,18.472579,77.397693,7.3,-17.7,7.37,0.6,Negativno,Ne
60,18.481132,77.38318,14.2,-44.1,7.96,1.53,Negativno,Ne
61,18.484762,77.381392,4.9,-61.0,6.49,2.67,Negativno,Ne
